Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA2011,CA2011QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2006/07,S12000023,,779.2,542.7,,:,158,,108,,,:,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2006/07,S12000024,,442.1,320.3,,:,613,,441,,,:,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2006/07,S12000038,,678.8,503.3,,:,1094,,812,,,:,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2006/07,S12000011,,363.6,269.5,,:,304,,226,,,:,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2006/07,S12000027,,538.6,383.5,,:,121,,87,,,:,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2006/07,S12000030,,345,259.7,,:,292,,221,,,:,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000033,,750,524.4,264.1,,1560,,1100,,582,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000034,,301.5,237.2,139.2,,714,,564,,332,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000041,,204.8,166.5,106.7,,228,,186,,119,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000035,,798.3,535.6,262.7,,733,,489,,241,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000008,,810.2,580,294.9,,959,,691,,358,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000021,,889.7,621.4,329.9,,1180,,828,,440,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000028,,766.2,567.5,288.5,,838,,621,,313,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000026,,548.4,412.8,240.5,,595,,447,,256,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000005,,384.2,284.4,159.1,,190,,140,,79,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000006,,326.8,258.4,143.4,,488,,386,,213,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000045,,317.2,243,139,,320,,243,,137,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000039,,847.3,565,271.7,,729,,488,,234,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000042,,446.8,357.9,180,,588,,474,,244,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000036,,591.5,383.1,177.5,,2471,,1608,,765,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000014,,350,281.6,172.3,,512,,412,,251,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000015,,325.4,255.8,137.5,,1153,,908,,491,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000046,,1259.4,851.5,370.5,,6396,,4325,,1940,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000017,,758.5,520.3,229.4,,1685,,1153,,503,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000018,,1008.5,691.4,271,,805,,552,,220,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000044,,608,422.6,204.9,,1928,,1335,,640,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000029,,523.3,372.7,185.8,,1542,,1103,,548,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000010,,393.7,255,130.4,,366,,238,,122,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000040,,598.5,398.6,218.3,,967,,642,,346,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000019,,436.3,322,176.6,,344,,250,,133,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000020,,475.7,334,174.6,,432,,303,,160,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000013,,890.1,695.7,208.7,,249,,194,,57,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000023,,934.2,620.1,305.5,,198,,130,,65,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000024,,419.1,307.7,156.1,,587,,425,,211,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000038,,661,474.5,240.5,,1081,,777,,397,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000011,,389.4,274.9,127.5,,331,,236,,112,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000027,,558,419,248,,121,,92,,54,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2007/08,S12000030,,395.2,278,130.9,,335,,235,,114,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000033,,811.2,525.4,250.4,,1675,,1108,,549,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000034,,306.1,232.1,129.4,,745,,562,,311,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000041,,227,178,115.9,,255,,198,,127,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000035,,707.9,496.6,225.5,,646,,453,,203,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000008,,758.6,537.4,239.9,,901,,642,,288,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000021,,861.2,573.7,294.5,,1166,,776,,399,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000028,,754.5,528.2,259.2,,832,,579,,283,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000026,,514.9,394.9,247.7,,561,,432,,269,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000005,,354.5,300.5,162.3,,180,,152,,79,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000006,,327.3,244.3,117.7,,499,,371,,179,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000045,,286.3,220.7,131.8,,293,,226,,135,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000039,,956.6,600.5,279.8,,821,,510,,237,,1.6
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000042,,483,375.3,205.8,,643,,506,,284,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000036,,550.3,382.1,171.8,,2283,,1590,,733,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000014,,341.8,272.2,144.3,,512,,405,,215,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000015,,330.2,244.5,123.7,,1171,,864,,438,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000046,,1266.2,845.4,352.5,,6529,,4320,,1852,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000017,,708.6,509.6,224,,1609,,1150,,502,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000018,,992.6,716.8,315,,792,,573,,253,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000044,,569.6,399.1,196.4,,1828,,1265,,615,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000029,,503.8,365.1,181.5,,1503,,1084,,539,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000010,,389.3,277.9,159.3,,359,,259,,147,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000040,,549.5,407.3,207.1,,895,,660,,334,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000019,,394.6,287.7,144.9,,316,,227,,113,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000020,,445.9,320,161.1,,416,,300,,153,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000013,,764.1,593.3,200,,207,,161,,54,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000023,,783.1,552.1,235.8,,167,,115,,50,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000024,,417.4,294.7,142.1,,592,,416,,199,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000038,,626.4,477.2,240.7,,1042,,790,,399,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000011,,378,260.2,123.2,,318,,219,,106,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000027,,534.9,434.1,224.2,,117,,95,,49,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2008/09,S12000030,,390.2,279,127.4,,326,,235,,110,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000033,,823,527.5,242,,1721,,1126,,540,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000034,,310,238.9,137.3,,766,,588,,338,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000041,,256.1,204.1,127.5,,286,,228,,142,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000035,,706.8,497.6,221.8,,635,,446,,198,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000008,,768.8,527.9,237.6,,927,,638,,288,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000021,,893,616.7,290.5,,1190,,819,,386,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000028,,808.2,540.8,268.5,,875,,593,,294,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000026,,453.2,357.7,208.9,,498,,394,,229,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000005,,323.2,246.8,138,,167,,126,,70,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000006,,293.3,223.3,109,,437,,337,,163,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000045,,322.7,234.3,130.9,,326,,237,,133,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000039,,972.4,594,275.3,,839,,518,,242,,1.6
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000042,,477.3,387.6,207.1,,639,,523,,287,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000036,,484.4,347.3,160.2,,2023,,1452,,682,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000014,,353.2,256,132.2,,527,,379,,191,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000015,,366.2,272.5,136,,1288,,962,,476,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000046,,1197.1,797.7,334.2,,6243,,4140,,1780,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000017,,599.1,430,185.9,,1359,,972,,415,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000018,,899,680.5,282.4,,720,,544,,227,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000044,,506,383.9,186,,1608,,1209,,574,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000029,,432.8,325.1,160.1,,1313,,983,,483,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000010,,295.2,226.5,119.6,,276,,215,,113,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000040,,510,370.4,194,,863,,621,,321,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000019,,382.5,293.9,154.6,,308,,236,,124,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000020,,386.9,281.8,126.5,,361,,263,,120,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000013,,748.4,573.8,215.2,,214,,164,,62,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000023,,957,495.8,242.5,,198,,105,,51,,1.9
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000024,,368.3,262.9,131.5,,537,,382,,189,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000038,,682.4,485.5,226.5,,1139,,805,,378,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000011,,371.7,276,144.7,,318,,232,,121,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000027,,521.8,443.2,267.6,,118,,100,,60,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2009/10,S12000030,,431.2,295.4,135,,363,,252,,117,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000033,,685.2,479.9,213,,1437,,1030,,478,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000034,,302.6,215.8,122.5,,754,,534,,298,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000041,,280.8,247.5,151,,314,,275,,167,,1.1
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000035,,667.7,478.4,238.6,,591,,424,,207,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000008,,782.5,546.8,267.6,,953,,662,,326,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000021,,889.8,595.2,309,,1188,,799,,416,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000028,,720.7,523.8,243.8,,803,,582,,273,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000026,,423.7,328.6,191.2,,466,,363,,206,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000005,,295.5,239.9,121.8,,150,,121,,61,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000006,,303,235.1,120,,446,,350,,179,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000045,,295,242,125.7,,306,,250,,129,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000039,,1014.7,584.3,260.3,,865,,502,,224,,1.7
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000042,,534.9,431.2,230.4,,728,,590,,325,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000036,,462.7,334.5,154,,1981,,1439,,683,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000014,,261.1,205.1,103.5,,394,,308,,153,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000015,,317.5,239.3,111.7,,1124,,845,,393,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000046,,1187.9,794.8,336.4,,6280,,4178,,1808,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000017,,554.7,401.6,176.6,,1271,,918,,401,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000018,,912.4,654.9,299,,728,,520,,236,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000044,,495.1,367.3,181,,1595,,1182,,579,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000029,,435.5,319.3,168.7,,1332,,971,,511,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000010,,352.9,255.6,134.7,,331,,243,,126,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000040,,556.6,409.9,228.9,,940,,691,,386,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000019,,341.3,274.3,137,,277,,222,,114,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000020,,357.8,254.4,118.1,,330,,234,,108,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000013,,681.4,512.7,148.5,,192,,145,,42,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000023,,1619.9,606.4,308.2,,346,,131,,66,,2.6
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000024,,380.3,290.7,156.6,,552,,419,,222,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000038,,697.2,485.5,212.7,,1177,,815,,356,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000011,,298.1,226.6,109,,252,,190,,93,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000027,,613.9,418.5,216.7,,139,,95,,48,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2010/11,S12000030,,329.3,240,113,,279,,205,,98,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000033,,751.6,481.7,214.4,,1594,,1034,,481,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000034,,282.2,213.9,123.9,,710,,536,,309,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000041,,276.2,220.3,140.1,,315,,252,,158,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000035,,693.9,448.4,199.4,,627,,400,,177,,1.6
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000008,,705.8,497.7,231.4,,852,,600,,281,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000021,,856.6,563.8,264,,1155,,760,,359,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000028,,651.3,457,195.4,,731,,510,,218,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000026,,497.8,378.6,216.3,,552,,421,,241,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000005,,360.8,282.8,178.9,,187,,147,,92,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000006,,316.7,254.2,134.8,,469,,377,,200,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000045,,290.2,213.5,123.4,,284,,210,,117,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000039,,823.7,517.7,252,,724,,448,,217,,1.6
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000042,,490.2,389.3,205,,658,,525,,287,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000036,,483.2,340.5,155.8,,2092,,1488,,702,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000014,,309.5,233.7,137.5,,472,,354,,206,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000015,,346.9,275.2,138.3,,1247,,989,,496,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000046,,1141.3,771.7,331.4,,6182,,4158,,1826,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000017,,521.5,383.1,167.9,,1200,,883,,381,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000018,,881.9,631.7,267.4,,711,,510,,213,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000044,,583.2,428.9,217,,1874,,1369,,688,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000029,,521.4,366.6,193.8,,1607,,1124,,589,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000010,,329.6,233.7,116.4,,320,,227,,113,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000040,,585.2,410.5,218.5,,983,,685,,360,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000019,,335.1,257,124.6,,274,,210,,101,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000020,,376.5,279.3,143.3,,348,,257,,132,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000013,,756.8,560.1,240.2,,219,,159,,64,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000023,,1500.4,587.1,317.8,,323,,127,,69,,2.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000024,,366.5,272.6,140.1,,535,,398,,205,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000038,,707,490.7,217.4,,1195,,829,,371,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000011,,391.5,290.1,153.6,,325,,241,,128,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000027,,753.6,521.6,296,,175,,122,,69,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2011/12,S12000030,,341.1,259.5,125.5,,285,,218,,106,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000033,,660,425.6,179.6,,1405,,924,,403,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000034,,244.3,190.4,96.1,,612,,473,,239,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000041,,279.5,224.2,143.5,,325,,258,,166,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000035,,519.4,369.7,174.6,,468,,331,,154,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000008,,630,435,210.1,,763,,525,,255,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000021,,736.9,527.1,249.4,,981,,704,,335,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000028,,601.5,433.7,200,,675,,482,,222,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000026,,440.5,321.2,180.4,,490,,358,,199,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000005,,358.8,260.5,137.7,,185,,132,,68,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000006,,302.6,230,123.1,,455,,344,,181,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000045,,294.5,208.6,100,,299,,213,,102,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000039,,698.4,480.6,226.4,,607,,412,,192,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000042,,524.4,409.7,224.9,,712,,559,,309,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000036,,478.8,342.3,160.6,,2127,,1526,,739,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000014,,337.1,251.5,132.4,,519,,385,,200,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000015,,444.8,329.6,169.2,,1588,,1180,,609,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000046,,1018.1,686,283.5,,5484,,3678,,1547,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000017,,532.1,391,184,,1236,,903,,420,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000018,,624.2,492.5,238.7,,503,,394,,188,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000044,,595.2,421.9,211.5,,1927,,1355,,677,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000029,,482.7,342.1,167.2,,1489,,1050,,509,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000010,,312.8,245.8,136,,307,,241,,133,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000040,,577.5,420.3,219.8,,961,,702,,365,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,SMR01,2012/13,S12000019,,388.8,301.1,163.6,,317,,245,,130,,1.3
